,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Shortest distance,Height diff,LULC,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
0,1,100000,1,4,0,75,30,330,380,0,0,0,0,360,136.01,4,7,1,0,0,1,0,0,0,1,0,1,0,0,412.50812657583094
1,2,50000,1,4,0,75,45,165,210,0,0,0,0,200,349.69,2,7,0,1,0,0,1,0,0,1,0,1,0,0,166.15764618888613
2,3,85000,1,3,0,75,20,450,500,0,0,0,0,360,335.43,7,7,0,1,0,0,1,0,1,0,0,1,0,0,429.89274023204996
3,4,80000,1,5,0,75,45,165,210,0,0,0,0,250,310.44,2,7,1,0,0,0,1,0,0,1,1,0,0,0,250.87766030984594
4,5,75000,1,4,0,75,30,285,330,0,0,0,0,320,276.74,0,7,0,1,0,0,1,0,0,1,1,0,0,0,326.4575092107441
5,6,50000,1,4,0,75,45,330,380,0,0,0,0,200,224.96,2,7,0,1,0,1,0,0,0,1,0,1,0,0,263.6124175759062
6,7,75000,1,4,0,75,30,150,200,0,0,0,0,320,167.03,4,7,0,1,0,1,0,0,1,0,1,0,0,0,249.3858635085552
7,8,75000,1,6,0,75,40,210,260,0,0,0,0,360,122.1,3,7,0,1,0,1,0,0,1,0,0,1,0,0,333.8748626929232
8,9,75000,1,6,0,75,45,165,210,0,0,0,0,300,107.42,3,7,0,1,0,1,0,0,1,0,1,0,0,0,280.56945479310275
9,10,75000,1,6,0,75,40,400,450,0,0,0,0,360,151.09,3,7,0,1,0,1,0,0,0,1,1,0,0,0,428.9562360798534
10,11,75000,1,3,0,75,20,200,250,0,0,0,0,360,249.0,1,7,0,1,0,1,0,0,1,0,0,1,0,0,284.6023108166863
11,12,75000,1,6,0,75,40,210,260,0,0,0,0,360,290.0,8,7,1,0,0,1,0,0,1,0,0,1,0,0,316.4739660992809
12,13,75000,1,3,0,75,35,285,330,0,0,0,0,240,266.37,6,7,0,1,0,1,0,0,1,0,1,0,0,0,265.1558477349303
13,14,75000,1,5,0,75,40,165,210,0,0,0,0,250,238.1,3,7,1,0,0,0,1,0,1,0,1,0,0,0,256.50111407663815
14,15,75000,1,4,0,75,60,120,170,0,0,0,0,160,203.82,0,7,1,0,0,1,0,0,0,1,1,0,0,0,165.49946179670033
15,16,75000,1,4,0,75,30,285,330,0,0,0,0,320,156.35,2,7,0,1,0,1,0,0,0,1,1,0,0,0,325.0556448936423
16,17,75000,1,3,0,75,35,285,330,0,0,0,0,240,104.85,2,7,0,1,0,1,0,0,0,1,1,0,0,0,283.1526975503079
17,18,45000,1,5,0,75,40,165,210,0,0,0,0,250,76.55,1,7,1,0,0,1,0,0,0,1,1,0,0,0,215.15966089122762
18,19,40000,1,4,0,75,60,280,330,0,0,0,0,160,52.61,2,7,1,0,0,1,0,0,1,0,0,1,0,0,219.40967875614322
19,20,105000,1,3,0,75,25,450,500,0,0,0,0,360,126.21,1,7,0,1,0,1,0,0,0,1,0,1,0,0,474.7250865739594
20,21,100000,1,6,0,75,40,300,350,0,0,0,0,360,189.99,0,7,0,1,0,1,0,0,1,0,1,0,0,0,418.8269640568197
21,22,105000,1,6,0,75,35,210,260,0,0,0,0,360,251.53,7,7,0,1,0,0,1,0,1,0,1,0,0,0,369.96188318035286
22,23,50000,1,4,0,75,45,165,210,0,0,0,0,200,240.93,7,7,0,1,0,0,1,0,0,1,1,0,0,0,160.568667986536
23,24,45000,1,3,0,75,25,285,330,0,0,0,0,240,207.39,5,7,0,1,0,0,1,0,0,1,0,1,0,0,245.2385082472428
24,25,65000,1,5,0,75,45,380,430,0,0,0,0,250,182.72,2,7,1,0,0,1,0,0,0,1,1,0,0,0,353.7188379567094
25,26,50000,1,3,0,75,25,285,330,0,0,0,0,240,112.16,0,7,1,0,0,1,0,0,1,0,0,1,0,0,273.8643218265938
26,27,105000,1,3,0,75,20,450,500,0,0,0,0,360,56.3,1,7,1,0,0,1,0,0,1,0,0,1,0,0,496.6978173579324
27,28,40000,1,4,0,75,50,120,170,0,0,0,0,160,30.41,1,7,1,0,0,1,0,0,1,0,1,0,0,0,137.66680870548717
28,29,40000,1,3,0,75,25,200,250,0,0,0,0,240,74.43,2,7,1,0,0,1,0,0,0,1,0,1,0,0,207.32329236331879
29,30,40000,1,4,0,75,60,120,170,0,0,0,0,160,141.01,2,7,0,1,0,1,0,0,1,0,0,1,0,0,115.14525741132846
30,31,40000,1,4,0,75,60,360,410,0,0,0,0,160,144.28,3,7,0,1,0,1,0,0,0,1,1,0,0,0,238.61793745203528
31,32,40000,1,4,0,75,65,90,140,0,0,0,0,120,167.93,5,7,0,1,0,0,1,0,0,1,0,1,0,0,78.0237298590294
32,33,40000,1,4,0,75,40,210,260,0,0,0,0,240,67.2,4,7,1,0,0,1,0,0,1,0,0,1,0,0,217.60865573744866
33,34,40000,1,3,0,75,30,120,170,0,0,0,0,270,93.52,5,7,0,1,0,0,1,0,0,1,0,1,0,0,159.5248801325582
34,35,40000,1,4,0,75,50,120,170,0,0,0,1,160,102.07,5,7,1,0,0,0,1,0,0,1,1,0,0,0,154.8058295637607
35,36,40000,1,5,0,75,55,280,330,0,0,0,0,200,60.88,2,7,1,0,0,0,1,0,1,0,0,1,0,0,262.54029686953777
36,37,40000,1,3,0,75,35,240,290,0,0,0,0,210,87.0,0,7,0,1,0,1,0,0,1,0,0,1,0,0,211.74358616658955
37,38,40000,1,4,0,75,45,165,210,0,0,0,0,200,92.91,3,7,0,1,0,0,1,0,1,0,1,0,0,0,169.88690484291777
38,39,100000,1,4,0,75,50,120,170,0,0,0,0,160,126.53,3,7,0,1,0,0,1,0,0,1,0,1,0,0,223.39143432120503
39,40,60000,1,3,0,75,55,300,350,0,0,0,0,120,167.06,6,7,0,1,0,0,1,0,0,1,0,1,0,0,217.36684556993953
40,41,45000,1,3,0,75,65,120,170,0,0,0,0,90,206.46,6,7,1,0,0,0,1,0,0,1,1,0,0,0,71.56764208376904
41,42,60000,1,3,0,75,70,260,310,0,0,0,0,90,193.83,6,7,1,0,0,0,1,0,1,0,1,0,0,0,174.18531633715833
42,43,40000,1,4,0,75,65,120,170,0,0,0,0,120,188.4,4,7,1,0,0,0,1,0,0,1,0,1,0,0,102.32346263224883
43,44,60000,1,3,0,75,60,120,170,0,0,0,0,120,139.45,4,7,1,0,0,0,1,0,1,0,0,1,0,0,128.05589429334663
