,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Shortest distance,Height diff,LULC,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
0,1,100000,1,4,0,75,30,330,380,0,0,0,0,360,136.01,4,7,1,0,0,1,0,0,0,1,0,1,0,0,407.5685472000595
1,2,50000,1,4,0,75,45,165,210,0,0,0,0,200,349.69,2,7,0,1,0,0,1,0,0,1,0,1,0,0,161.3400525586333
2,3,85000,1,3,0,75,20,450,500,0,0,0,0,360,335.43,7,7,0,1,0,0,1,0,1,0,0,1,0,0,425.20438318588623
3,4,80000,1,5,0,75,45,165,210,0,0,0,0,250,310.44,2,7,1,0,0,0,1,0,0,1,1,0,0,0,250.89093873248106
4,5,75000,1,4,0,75,30,285,330,0,0,0,0,320,276.74,0,7,0,1,0,0,1,0,0,1,1,0,0,0,322.4432338061333
5,6,50000,1,4,0,75,45,330,380,0,0,0,0,200,224.96,2,7,0,1,0,1,0,0,0,1,0,1,0,0,256.2886008022747
6,7,75000,1,4,0,75,30,150,200,0,0,0,0,320,167.03,4,7,0,1,0,1,0,0,1,0,1,0,0,0,247.90134383389042
7,8,75000,1,6,0,75,40,210,260,0,0,0,0,360,122.1,3,7,0,1,0,1,0,0,1,0,0,1,0,0,331.50748302941565
8,9,75000,1,6,0,75,45,165,210,0,0,0,0,300,107.42,3,7,0,1,0,1,0,0,1,0,1,0,0,0,280.53881552710163
9,10,75000,1,6,0,75,40,400,450,0,0,0,0,360,151.09,3,7,0,1,0,1,0,0,0,1,1,0,0,0,424.53949348158307
10,11,75000,1,3,0,75,20,200,250,0,0,0,0,360,249.0,1,7,0,1,0,1,0,0,1,0,0,1,0,0,279.88118095990836
11,12,75000,1,6,0,75,40,210,260,0,0,0,0,360,290.0,8,7,1,0,0,1,0,0,1,0,0,1,0,0,316.47597756699946
12,13,75000,1,3,0,75,35,285,330,0,0,0,0,240,266.37,6,7,0,1,0,1,0,0,1,0,1,0,0,0,262.49133568268354
13,14,75000,1,5,0,75,40,165,210,0,0,0,0,250,238.1,3,7,1,0,0,0,1,0,1,0,1,0,0,0,258.8139226361395
14,15,75000,1,4,0,75,60,120,170,0,0,0,0,160,203.82,0,7,1,0,0,1,0,0,0,1,1,0,0,0,164.0406693611869
15,16,75000,1,4,0,75,30,285,330,0,0,0,0,320,156.35,2,7,0,1,0,1,0,0,0,1,1,0,0,0,319.9198683348333
16,17,75000,1,3,0,75,35,285,330,0,0,0,0,240,104.85,2,7,0,1,0,1,0,0,0,1,1,0,0,0,277.4574734321633
17,18,45000,1,5,0,75,40,165,210,0,0,0,0,250,76.55,1,7,1,0,0,1,0,0,0,1,1,0,0,0,212.83459864954534
18,19,40000,1,4,0,75,60,280,330,0,0,0,0,160,52.61,2,7,1,0,0,1,0,0,1,0,0,1,0,0,216.66159785791467
19,20,105000,1,3,0,75,25,450,500,0,0,0,0,360,126.21,1,7,0,1,0,1,0,0,0,1,0,1,0,0,466.22193778675614
20,21,100000,1,6,0,75,40,300,350,0,0,0,0,360,189.99,0,7,0,1,0,1,0,0,1,0,1,0,0,0,418.0473739106062
21,22,105000,1,6,0,75,35,210,260,0,0,0,0,360,251.53,7,7,0,1,0,0,1,0,1,0,1,0,0,0,371.54726481780943
