,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Shortest distance,Height diff,LULC,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
0,1,100000,1,4,0,75,30,330,380,0,0,0,0,360,136.01,4,7,1,0,0,1,0,0,0,1,0,1,0,0,360.5607644547336
1,2,50000,1,4,0,75,45,165,210,0,0,0,0,200,349.69,2,7,0,1,0,0,1,0,0,1,0,1,0,0,186.7289626165357
2,3,85000,1,3,0,75,20,450,500,0,0,0,0,360,335.43,7,7,0,1,0,0,1,0,1,0,0,1,0,0,429.78600061961856
3,4,80000,1,5,0,75,45,165,210,0,0,0,0,250,310.44,2,7,1,0,0,0,1,0,0,1,1,0,0,0,208.20423689147316
4,5,75000,1,4,0,75,30,285,330,0,0,0,0,320,276.74,0,7,0,1,0,0,1,0,0,1,1,0,0,0,304.18491841894456
5,6,50000,1,4,0,75,45,330,380,0,0,0,0,200,224.96,2,7,0,1,0,1,0,0,0,1,0,1,0,0,272.07689298762676
6,7,75000,1,4,0,75,30,150,200,0,0,0,0,320,167.03,4,7,0,1,0,1,0,0,1,0,1,0,0,0,288.83398796856056
7,8,75000,1,6,0,75,40,210,260,0,0,0,0,360,122.1,3,7,0,1,0,1,0,0,1,0,0,1,0,0,311.16115613011493
8,9,75000,1,6,0,75,45,165,210,0,0,0,0,300,107.42,3,7,0,1,0,1,0,0,1,0,1,0,0,0,309.47530113068643
9,10,75000,1,6,0,75,40,400,450,0,0,0,0,360,151.09,3,7,0,1,0,1,0,0,0,1,1,0,0,0,429.24198608951673
10,11,75000,1,3,0,75,20,200,250,0,0,0,0,360,249.0,1,7,0,1,0,1,0,0,1,0,0,1,0,0,274.9044324198399
11,12,75000,1,6,0,75,40,210,260,0,0,0,0,360,290.0,8,7,1,0,0,1,0,0,1,0,0,1,0,0,281.2375186173223
12,13,75000,1,3,0,75,35,285,330,0,0,0,0,240,266.37,6,7,0,1,0,1,0,0,1,0,1,0,0,0,265.97610747181994
