,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Shortest distance,Height diff,LULC,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
0,1,100000,1,4,0,75,30,330,380,0,0,0,0,360,136.01,4,7,1,0,0,1,0,0,0,1,0,1,0,0,367.4552866481638
1,2,50000,1,4,0,75,45,165,210,0,0,0,0,200,349.69,2,7,0,1,0,0,1,0,0,1,0,1,0,0,159.39664588185067
2,3,85000,1,3,0,75,20,450,500,0,0,0,0,360,335.43,7,7,0,1,0,0,1,0,1,0,0,1,0,0,385.8070145277841
3,4,80000,1,5,0,75,45,165,210,0,0,0,0,250,310.44,2,7,1,0,0,0,1,0,0,1,1,0,0,0,236.6572905898921
4,5,75000,1,4,0,75,30,285,330,0,0,0,0,320,276.74,0,7,0,1,0,0,1,0,0,1,1,0,0,0,302.2714818181507
5,6,50000,1,4,0,75,45,330,380,0,0,0,0,200,224.96,2,7,0,1,0,1,0,0,0,1,0,1,0,0,241.0010997758944
6,7,75000,1,4,0,75,30,150,200,0,0,0,0,320,167.03,4,7,0,1,0,1,0,0,1,0,1,0,0,0,239.18009905290526
7,8,75000,1,6,0,75,40,210,260,0,0,0,0,360,122.1,3,7,0,1,0,1,0,0,1,0,0,1,0,0,308.3692392675062
8,9,75000,1,6,0,75,45,165,210,0,0,0,0,300,107.42,3,7,0,1,0,1,0,0,1,0,1,0,0,0,268.4396928735182
9,10,75000,1,6,0,75,40,400,450,0,0,0,0,360,151.09,3,7,0,1,0,1,0,0,0,1,1,0,0,0,391.3724861196378
10,11,75000,1,3,0,75,20,200,250,0,0,0,0,360,249.0,1,7,0,1,0,1,0,0,1,0,0,1,0,0,262.25447696192333
11,12,75000,1,6,0,75,40,210,260,0,0,0,0,360,290.0,8,7,1,0,0,1,0,0,1,0,0,1,0,0,290.22776612252153
12,13,75000,1,3,0,75,35,285,330,0,0,0,0,240,266.37,6,7,0,1,0,1,0,0,1,0,1,0,0,0,250.4262578468245
13,14,75000,1,5,0,75,40,165,210,0,0,0,0,250,238.1,3,7,1,0,0,0,1,0,1,0,1,0,0,0,243.53027161320506
14,15,75000,1,4,0,75,60,120,170,0,0,0,0,160,203.82,0,7,1,0,0,1,0,0,0,1,1,0,0,0,161.82517386477667
15,16,75000,1,4,0,75,30,285,330,0,0,0,0,320,156.35,2,7,0,1,0,1,0,0,0,1,1,0,0,0,300.55998392100327
16,17,75000,1,3,0,75,35,285,330,0,0,0,0,240,104.85,2,7,0,1,0,1,0,0,0,1,1,0,0,0,263.27753599556917
17,18,45000,1,5,0,75,40,165,210,0,0,0,0,250,76.55,1,7,1,0,0,1,0,0,0,1,1,0,0,0,203.7038492071377
18,19,40000,1,4,0,75,60,280,330,0,0,0,0,160,52.61,2,7,1,0,0,1,0,0,1,0,0,1,0,0,201.96666018297145
19,20,105000,1,3,0,75,25,450,500,0,0,0,0,360,126.21,1,7,0,1,0,1,0,0,0,1,0,1,0,0,422.1545416954716
20,21,100000,1,6,0,75,40,300,350,0,0,0,0,360,189.99,0,7,0,1,0,1,0,0,1,0,1,0,0,0,387.06408998194973
21,22,105000,1,6,0,75,35,210,260,0,0,0,0,360,251.53,7,7,0,1,0,0,1,0,1,0,1,0,0,0,346.6989933465959
22,23,50000,1,4,0,75,45,165,210,0,0,0,0,200,240.93,7,7,0,1,0,0,1,0,0,1,1,0,0,0,160.02799522137934
23,24,45000,1,3,0,75,25,285,330,0,0,0,0,240,207.39,5,7,0,1,0,0,1,0,0,1,0,1,0,0,224.4654525221437
24,25,65000,1,5,0,75,45,380,430,0,0,0,0,250,182.72,2,7,1,0,0,1,0,0,0,1,1,0,0,0,321.80760766041357
25,26,50000,1,3,0,75,25,285,330,0,0,0,0,240,112.16,0,7,1,0,0,1,0,0,1,0,0,1,0,0,247.54072407769243
26,27,105000,1,3,0,75,20,450,500,0,0,0,0,360,56.3,1,7,1,0,0,1,0,0,1,0,0,1,0,0,439.79185052720914
27,28,40000,1,4,0,75,50,120,170,0,0,0,0,160,30.41,1,7,1,0,0,1,0,0,1,0,1,0,0,0,138.48013960616638
28,29,40000,1,3,0,75,25,200,250,0,0,0,0,240,74.43,2,7,1,0,0,1,0,0,0,1,0,1,0,0,188.34108844052906
29,30,40000,1,4,0,75,60,120,170,0,0,0,0,160,141.01,2,7,0,1,0,1,0,0,1,0,0,1,0,0,117.47626814707354
30,31,40000,1,4,0,75,60,360,410,0,0,0,0,160,144.28,3,7,0,1,0,1,0,0,0,1,1,0,0,0,224.39385908033844
31,32,40000,1,4,0,75,65,90,140,0,0,0,0,120,167.93,5,7,0,1,0,0,1,0,0,1,0,1,0,0,84.05714156114877
32,33,40000,1,4,0,75,40,210,260,0,0,0,0,240,67.2,4,7,1,0,0,1,0,0,1,0,0,1,0,0,200.9356861321782
33,34,40000,1,3,0,75,30,120,170,0,0,0,0,270,93.52,5,7,0,1,0,0,1,0,0,1,0,1,0,0,152.11222125216543
34,35,40000,1,4,0,75,50,120,170,0,0,0,1,160,102.07,5,7,1,0,0,0,1,0,0,1,1,0,0,0,152.99677270341454
35,36,40000,1,5,0,75,55,280,330,0,0,0,0,200,60.88,2,7,1,0,0,0,1,0,1,0,0,1,0,0,240.69854604053484
36,37,40000,1,3,0,75,35,240,290,0,0,0,0,210,87.0,0,7,0,1,0,1,0,0,1,0,0,1,0,0,197.72267986883452
37,38,40000,1,4,0,75,45,165,210,0,0,0,0,200,92.91,3,7,0,1,0,0,1,0,1,0,1,0,0,0,169.76518815077452
38,39,100000,1,4,0,75,50,120,170,0,0,0,0,160,126.53,3,7,0,1,0,0,1,0,0,1,0,1,0,0,211.02153980412731
39,40,60000,1,3,0,75,55,300,350,0,0,0,0,120,167.06,6,7,0,1,0,0,1,0,0,1,0,1,0,0,201.34263596070525
40,41,45000,1,3,0,75,65,120,170,0,0,0,0,90,206.46,6,7,1,0,0,0,1,0,0,1,1,0,0,0,79.20909697390087
41,42,60000,1,3,0,75,70,260,310,0,0,0,0,90,193.83,6,7,1,0,0,0,1,0,1,0,1,0,0,0,169.14507224913848
42,43,40000,1,4,0,75,65,120,170,0,0,0,0,120,188.4,4,7,1,0,0,0,1,0,0,1,0,1,0,0,101.20624845037335
43,44,60000,1,3,0,75,60,120,170,0,0,0,0,120,139.45,4,7,1,0,0,0,1,0,1,0,0,1,0,0,125.19176390615172
44,45,65000,1,4,0,75,40,180,230,0,0,0,0,240,74.4,3,7,1,0,0,1,0,0,1,0,1,0,0,0,223.62156590070504
45,46,100000,1,4,0,75,25,360,410,0,0,0,0,400,35.36,1,7,0,1,0,1,0,0,1,0,1,0,0,0,413.2241772731884
46,47,70000,1,5,0,75,25,285,330,0,0,0,0,400,51.62,1,7,0,1,0,1,0,0,0,1,1,0,0,0,344.8670676913204
47,48,100000,1,6,0,75,55,240,290,0,0,0,0,240,90.8,1,7,1,0,0,1,0,0,0,1,0,1,0,0,319.3235403800238
48,49,85000,1,6,0,75,50,120,170,0,0,0,0,120,136.56,2,7,1,0,0,0,1,0,1,0,1,0,0,0,225.31345418457215
49,50,100000,1,6,0,75,65,300,350,0,0,0,0,120,150.72,4,7,1,0,0,0,1,0,1,0,1,0,0,0,314.7326880756474
50,51,90000,1,6,0,75,75,120,170,0,0,0,0,180,102.08,1,7,1,0,0,0,1,0,0,1,1,0,0,0,224.1415073665471
51,52,105000,1,6,0,75,50,240,290,0,0,0,0,180,114.39,3,7,1,0,0,0,1,0,0,1,0,1,0,0,318.5045790210684
52,53,75000,1,4,0,75,60,120,170,0,0,0,0,160,139.29,4,7,1,0,0,0,1,0,0,1,1,0,0,0,168.3487149010988
53,54,75000,1,4,0,75,75,120,170,0,0,0,0,120,188.53,3,7,1,0,0,0,1,0,1,0,0,1,0,0,149.36868715233564
